,Inicio_Semana,Total de Chuvas(mm),Média diária de chuvas(mm),categoria,ponto_codigo,Categoria_Indexada
589,2021-09-12,2.2,0.31428572109767366,Própria,Farol da Barra - SSA FB 200,0.0
590,2022-09-25,6.4,0.9142857279096331,Própria,Farol da Barra - SSA FB 200,0.0
591,2023-03-26,36.2,5.171428680419922,Imprópria,Farol da Barra - SSA FB 200,1.0
592,2021-04-04,97.0,13.857142857142858,Indisponível,Farol da Barra - SSA FB 200,2.0
593,2023-02-05,1.6,0.22857143197740828,Imprópria,Farol da Barra - SSA FB 200,1.0
594,2021-04-11,86.6,12.37142835344587,Indisponível,Farol da Barra - SSA FB 200,2.0
595,2021-07-04,49.0,7.0,Própria,Farol da Barra - SSA FB 200,0.0
596,2021-10-10,1.8,0.25714285033089773,Própria,Farol da Barra - SSA FB 200,0.0
597,2022-06-12,6.4,0.9142857279096331,Própria,Farol da Barra - SSA FB 200,0.0
598,2023-02-19,25.8,3.6857141767229353,Imprópria,Farol da Barra - SSA FB 200,1.0
599,2021-07-25,83.4,11.914285932268415,Própria,Farol da Barra - SSA FB 200,0.0
600,2021-10-17,106.0,15.142857142857142,Própria,Farol da Barra - SSA FB 200,0.0
601,2022-03-27,38.0,5.428571428571429,Indisponível,Farol da Barra - SSA FB 200,2.0
602,2022-07-03,42.4,6.057143075125558,Própria,Farol da Barra - SSA FB 200,0.0
603,2021-05-23,9.0,1.2857142857142858,Imprópria,Farol da Barra - SSA FB 200,1.0
604,2021-10-03,0.2,0.028571428997176036,Imprópria,Farol da Barra - SSA FB 200,1.0
605,2022-07-17,60.8,8.685714176722936,Própria,Farol da Barra - SSA FB 200,0.0
606,2022-08-28,48.2,6.885714394705636,Própria,Farol da Barra - SSA FB 200,0.0
607,2022-02-27,101.4,14.485714503696986,Imprópria,Farol da Barra - SSA FB 200,1.0
608,2022-02-13,22.4,3.1999999455043246,Própria,Farol da Barra - SSA FB 200,0.0
609,2021-04-18,66.8,9.542857578822545,Indisponível,Farol da Barra - SSA FB 200,2.0
610,2022-02-20,61.6,8.799999782017299,Própria,Farol da Barra - SSA FB 200,0.0
611,2022-01-30,13.2,1.8857142584664481,Própria,Farol da Barra - SSA FB 200,0.0
612,2023-03-05,7.8,1.1142857415335519,Imprópria,Farol da Barra - SSA FB 200,1.0
613,2022-05-22,44.6,6.371428353445871,Própria,Farol da Barra - SSA FB 200,0.0
614,2021-08-29,23.2,3.3142858232770647,Própria,Farol da Barra - SSA FB 200,0.0
615,2022-11-13,77.4,11.057143075125557,Própria,Farol da Barra - SSA FB 200,0.0
616,2021-08-22,24.8,3.5428570338657925,Própria,Farol da Barra - SSA FB 200,0.0
617,2022-03-13,123.4,17.62857164655413,Própria,Farol da Barra - SSA FB 200,0.0
618,2022-05-29,46.0,6.571428571428571,Própria,Farol da Barra - SSA FB 200,0.0
619,2022-10-30,24.2,3.4571429661342075,Própria,Farol da Barra - SSA FB 200,0.0
620,2022-12-18,42.6,6.085714067731585,Imprópria,Farol da Barra - SSA FB 200,1.0
621,2023-01-22,0.0,0.0,Própria,Farol da Barra - SSA FB 200,0.0
622,2022-09-18,22.6,3.2285714830671037,Própria,Farol da Barra - SSA FB 200,0.0
623,2022-05-15,12.8,1.8285714558192663,Própria,Farol da Barra - SSA FB 200,0.0
624,2021-08-15,9.0,1.2857142857142858,Própria,Farol da Barra - SSA FB 200,0.0
625,2022-03-06,34.0,4.857142857142857,Própria,Farol da Barra - SSA FB 200,0.0
626,2023-02-12,22.8,3.2571427481515065,Imprópria,Farol da Barra - SSA FB 200,1.0
627,2021-08-08,31.2,4.4571429661342075,Própria,Farol da Barra - SSA FB 200,0.0
628,2021-06-06,13.6,1.9428571973528181,Própria,Farol da Barra - SSA FB 200,0.0
629,2022-11-27,61.8,8.828571319580078,Própria,Farol da Barra - SSA FB 200,0.0
630,2023-04-30,49.4,7.057143075125558,Imprópria,Farol da Barra - SSA FB 200,1.0
631,2023-05-14,48.2,6.885714394705636,Imprópria,Farol da Barra - SSA FB 200,1.0
632,2022-11-06,2.4,0.3428571564810617,Própria,Farol da Barra - SSA FB 200,0.0
633,2022-10-09,18.0,2.5714285714285716,Própria,Farol da Barra - SSA FB 200,0.0
634,2022-04-24,28.0,4.0,Própria,Farol da Barra - SSA FB 200,0.0
635,2023-01-29,45.8,6.5428570338657925,Própria,Farol da Barra - SSA FB 200,0.0
636,2021-03-28,0.0,0.0,Indisponível,Farol da Barra - SSA FB 200,2.0
637,2021-02-14,0.8,0.11428571598870414,Imprópria,Farol da Barra - SSA FB 200,1.0
638,2022-06-26,41.0,5.857142857142857,Própria,Farol da Barra - SSA FB 200,0.0
639,2022-09-11,3.8,0.5428571360451835,Própria,Farol da Barra - SSA FB 200,0.0
640,2022-05-08,101.2,14.457142421177455,Própria,Farol da Barra - SSA FB 200,0.0
641,2022-08-21,43.8,6.257142748151507,Própria,Farol da Barra - SSA FB 200,0.0
642,2023-05-07,117.8,16.82857186453683,Imprópria,Farol da Barra - SSA FB 200,1.0
643,2021-05-02,58.8,8.39999989100865,Própria,Farol da Barra - SSA FB 200,0.0
644,2022-09-04,12.8,1.8285714558192663,Própria,Farol da Barra - SSA FB 200,0.0
645,2023-01-15,25.0,3.5714285714285716,Própria,Farol da Barra - SSA FB 200,0.0
646,2022-10-16,14.8,2.114285741533552,Própria,Farol da Barra - SSA FB 200,0.0
647,2023-04-16,6.6,0.9428571292332241,Imprópria,Farol da Barra - SSA FB 200,1.0
648,2021-02-28,43.4,6.2000002179827005,Própria,Farol da Barra - SSA FB 200,0.0
649,2021-09-19,2.6,0.3714285578046526,Própria,Farol da Barra - SSA FB 200,0.0
650,2023-03-19,48.4,6.914285932268415,Imprópria,Farol da Barra - SSA FB 200,1.0
651,2023-04-23,94.8,13.542857578822545,Imprópria,Farol da Barra - SSA FB 200,1.0
652,2023-01-08,3.8,0.5428571360451835,Imprópria,Farol da Barra - SSA FB 200,1.0
653,2022-01-02,9.6,1.3714286259242467,Própria,Farol da Barra - SSA FB 200,0.0
654,2022-04-03,32.0,4.571428571428571,Indisponível,Farol da Barra - SSA FB 200,2.0
655,2023-02-26,17.0,2.4285714285714284,Imprópria,Farol da Barra - SSA FB 200,1.0
656,2022-10-02,0.2,0.028571428997176036,Própria,Farol da Barra - SSA FB 200,0.0
657,2022-04-17,274.4,39.199999128069194,Indisponível,Farol da Barra - SSA FB 200,2.0
